Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-11-29 00:52:56;351;1102;99;Kein Fehler erkannt;0.62;160;0.00;;;;;;;;
2018-11-29 01:53:04;351;1102;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-29 02:53:12;351;1102;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-29 03:53:21;351;1102;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-29 04:53:28;351;1102;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-29 05:53:37;350;1099;98;Kein Fehler erkannt;1.52;160;0.00;;;;;;;;
2018-11-29 06:53:45;349;1096;98;Kein Fehler erkannt;1.30;160;0.00;;;;;;;;
2018-11-29 07:53:53;347;1090;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-29 08:54:02;343;1077;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-29 09:54:09;340;1068;98;Kein Fehler erkannt;1.54;160;0.00;;;;;;;;
2018-11-29 10:54:18;340;1068;98;Kein Fehler erkannt;1.52;160;0.00;;;;;;;;
2018-11-29 11:54:26;340;1068;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-29 12:54:34;340;1068;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-29 13:54:43;340;1068;98;Kein Fehler erkannt;1.38;160;0.00;;;;;;;;
2018-11-29 14:54:51;340;1068;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-29 15:54:59;340;1068;99;Kein Fehler erkannt;0.62;160;0.00;;;;;;;;
2018-11-29 16:55:07;340;1068;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-29 17:55:15;338;1061;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-29 18:55:24;338;1061;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-29 19:55:32;338;1061;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-29 20:55:33;338;1061;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-29 21:55:48;335;1052;98;Kein Fehler erkannt;1.57;160;0.00;;;;;;;;
2018-11-29 22:55:57;333;1046;98;Kein Fehler erkannt;1.55;160;0.00;;;;;;;;
2018-11-29 23:56:04;333;1046;98;Kein Fehler erkannt;1.30;160;0.00;;;;;;;;
2018-11-30 00:56:13;333;1046;98;Kein Fehler erkannt;1.54;160;0.00;;;;;;56;84;
2018-11-30 01:56:21;334;1049;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-30 02:56:29;333;1046;98;Kein Fehler erkannt;1.41;160;0.00;;;;;;;;
2018-11-30 03:56:38;333;1046;98;Kein Fehler erkannt;1.57;160;0.00;;;;;;;;
2018-11-30 04:56:45;333;1046;98;Kein Fehler erkannt;1.54;160;0.00;;;;;;;;
2018-11-30 05:56:54;331;1039;95;Kein Fehler erkannt;5.08;160;0.00;;;;;;;;
2018-11-30 06:57:02;329;1033;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-30 07:57:10;329;1033;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-30 08:57:19;329;1033;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-30 09:57:26;329;1033;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-30 10:57:35;329;1033;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-30 11:57:43;327;1027;100;Kein Fehler erkannt;0.00;160;0.30;;;;;;;;
2018-11-30 12:57:51;347;1090;100;Kein Fehler erkannt;0.00;160;0.89;;;;;;;;
2018-11-30 13:58:00;388;1218;93;Kein Fehler erkannt;6.46;160;2.07;0;128;97;0;OK;;;
2018-11-30 14:58:07;436;1369;98;Kein Fehler erkannt;1.57;160;3.54;0;151;127;0;OK;;;
2018-11-30 15:58:16;485;1523;98;Kein Fehler erkannt;1.49;160;5.01;0;154;126;0;OK;;;
2018-11-30 16:58:24;505;1586;99;Kein Fehler erkannt;0.75;160;5.61;;;;;;;;
2018-11-30 17:58:32;533;1674;100;Kein Fehler erkannt;0.00;160;6.49;;;;;;;;
2018-11-30 18:58:41;535;1680;100;Kein Fehler erkannt;0.00;160;6.49;;;;;;;;
2018-11-30 19:58:48;540;1696;100;Kein Fehler erkannt;0.00;160;6.79;;;;;;;;
2018-11-30 20:58:57;541;1699;100;Kein Fehler erkannt;0.00;160;6.79;;;;;;;;
2018-11-30 21:59:05;541;1699;100;Kein Fehler erkannt;0.00;160;6.79;;;;;;;;
2018-11-30 22:59:13;541;1699;100;Kein Fehler erkannt;0.00;160;6.79;;;;;;;;
2018-11-30 23:59:22;540;1696;99;Kein Fehler erkannt;0.75;160;6.79;;;;;;;;
2018-12-01 00:59:30;539;1693;98;Kein Fehler erkannt;1.38;160;6.79;;;;;;;;
2018-12-01 01:59:38;539;1693;98;Kein Fehler erkannt;1.55;160;6.79;;;;;;;;
2018-12-01 02:59:46;539;1693;98;Kein Fehler erkannt;1.54;160;6.79;;;;;;;;
2018-12-01 03:59:54;538;1690;98;Kein Fehler erkannt;1.15;160;6.79;;;;;;;;
2018-12-01 05:00:03;538;1690;98;Kein Fehler erkannt;1.44;160;6.79;;;;;;;;
2018-12-01 06:00:11;536;1683;100;Kein Fehler erkannt;0.00;160;6.79;;;;;;;;
2018-12-01 07:00:19;534;1677;99;Kein Fehler erkannt;0.94;160;6.79;;;;;;;;
2018-12-01 08:00:27;532;1671;98;Kein Fehler erkannt;1.21;160;6.79;;;;;;;;
2018-12-01 09:00:36;529;1661;100;Kein Fehler erkannt;0.00;160;6.79;;;;;;;;
2018-12-01 10:00:44;529;1661;100;Kein Fehler erkannt;0.00;160;6.79;;;;;;;;
2018-12-01 11:00:52;529;1661;100;Kein Fehler erkannt;0.00;160;6.79;;;;;;;;
2018-12-01 12:01:00;529;1661;100;Kein Fehler erkannt;0.00;160;6.49;;;;;;;;
2018-12-01 12:03:42;536;1683;98;Kein Fehler erkannt;1.82;180;5.90;;;;;;;;
2018-12-01 13:01:08;535;1680;98;Kein Fehler erkannt;1.38;180;5.90;;;;;;;;
2018-12-01 14:01:17;535;1680;98;Kein Fehler erkannt;1.09;180;4.43;;;;;;;;
2018-12-01 15:01:24;535;1680;99;Kein Fehler erkannt;0.62;180;2.95;;;;;;;;
2018-12-01 16:01:33;535;1680;98;Kein Fehler erkannt;1.34;180;1.18;;;;;;;;
2018-12-01 17:01:41;536;1683;100;Kein Fehler erkannt;0.00;180;1.18;;;;;;;;
2018-12-01 18:01:49;536;1683;100;Kein Fehler erkannt;0.00;180;0.30;;;;;;;;
2018-12-01 19:01:58;536;1683;100;Kein Fehler erkannt;0.00;180;0.00;;;;;;;;
2018-12-01 20:02:05;536;1683;100;Kein Fehler erkannt;0.00;180;0.00;;;;;;;;
2018-12-01 21:02:14;536;1683;100;Kein Fehler erkannt;0.00;180;0.00;;;;;;;;
2018-12-01 22:02:23;536;1683;100;Kein Fehler erkannt;0.00;180;0.00;;;;;;;;
2018-12-01 23:02:30;536;1683;100;Kein Fehler erkannt;0.00;180;0.00;;;;;;;;
2018-12-02 00:02:39;535;1680;99;Kein Fehler erkannt;0.85;180;0.00;;;;;;33;80;
2018-12-02 01:02:46;536;1683;100;Kein Fehler erkannt;0.00;180;0.00;;;;;;;;
2018-12-02 02:02:55;536;1683;100;Kein Fehler erkannt;0.00;180;0.00;;;;;;;;
2018-12-02 03:03:04;535;1680;99;Kein Fehler erkannt;0.75;180;0.00;;;;;;;;
2018-12-02 04:03:11;536;1683;100;Kein Fehler erkannt;0.00;180;0.00;;;;;;;;
2018-12-02 05:03:20;536;1683;100;Kein Fehler erkannt;0.00;180;0.00;;;;;;;;
2018-12-02 06:03:28;559;1756;99;Kein Fehler erkannt;0.89;180;0.89;;;;;;;;
2018-12-02 07:03:36;629;1976;98;Kein Fehler erkannt;1.75;180;2.95;20;220;186;0;OK;;;
2018-12-02 08:03:45;652;2048;100;Kein Fehler erkannt;0.00;180;3.54;;;;;;;;
2018-12-02 09:03:53;654;2054;100;Kein Fehler erkannt;0.00;180;3.54;;;;;;;;
2018-12-02 09:13:06;654;2054;100;Kein Fehler erkannt;0.00;180;3.54;;;;;;;;
2018-12-02 10:13:15;653;2051;99;Kein Fehler erkannt;0.44;180;3.54;;;;;;;;
2018-12-02 11:13:23;716;2249;98;Kein Fehler erkannt;1.26;180;5.61;0;198;186;0;OK;;;
2018-12-02 12:13:31;732;2299;100;Kein Fehler erkannt;0.00;180;5.90;;;;;;;;
2018-12-02 13:13:39;732;2299;100;Kein Fehler erkannt;0.00;180;5.90;;;;;;;;
2018-12-02 14:13:48;732;2299;100;Kein Fehler erkannt;0.00;180;5.90;;;;;;;;
2018-12-02 15:13:55;727;2283;94;Kein Fehler erkannt;6.23;180;5.90;;;;;;;;
