Log File;Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
181122_V310_2.csv;13.11.2018 00:11;381;1196;98;Kein Fehler erkannt;1,3;0;0;;;;;;38;63
181122_V310_2.csv;13.11.2018 01:11;392;1231;94;Kein Fehler erkannt;6,19;0;0,3;;;;;;;
181122_V310_2.csv;13.11.2018 02:11;393;1234;100;Kein Fehler erkannt;0;0;0,59;;;;;;;
181122_V310_2.csv;13.11.2018 03:11;399;1253;100;Kein Fehler erkannt;0;0;0,59;;;;;;;
181122_V310_2.csv;13.11.2018 04:11;399;1253;99;Kein Fehler erkannt;0,94;0;0,59;;;;;;;
181122_V310_2.csv;13.11.2018 05:12;404;1269;100;Kein Fehler erkannt;0;0;0,89;;;;;;;
181122_V310_2.csv;13.11.2018 06:12;399;1253;98;Kein Fehler erkannt;1,44;0;0,89;;;;;;;
181122_V310_2.csv;13.11.2018 07:12;408;1281;100;Kein Fehler erkannt;0;0;1,48;;;;;;;
181122_V310_2.csv;13.11.2018 08:12;418;1313;98;Kein Fehler erkannt;1,44;0;1,77;;;;;;;
181122_V310_2.csv;13.11.2018 09:12;440;1382;99;Kein Fehler erkannt;1,02;0;2,36;;;;;;;
181122_V310_2.csv;13.11.2018 10:12;452;1420;100;Kein Fehler erkannt;0;0;2,95;;;;;;;
181122_V310_2.csv;13.11.2018 11:12;453;1423;100;Kein Fehler erkannt;0;0;2,95;;;;;;;
181122_V310_2.csv;13.11.2018 12:13;454;1426;100;Kein Fehler erkannt;0;0;2,95;;;;;;;
181122_V310_2.csv;13.11.2018 13:13;453;1423;100;Kein Fehler erkannt;0;0;2,95;;;;;;;
181122_V310_2.csv;13.11.2018 14:12;454;1426;97;Kein Fehler erkannt;2,68;0;2,95;;;;;;;
181122_V310_2.csv;13.11.2018 15:12;450;1413;99;Kein Fehler erkannt;0,75;0;2,95;;;;;;;
181122_V310_2.csv;13.11.2018 16:13;450;1413;97;Kein Fehler erkannt;2,58;0;2,95;;;;;;;
181122_V310_2.csv;13.11.2018 17:13;450;1413;100;Kein Fehler erkannt;0;0;2,95;;;;;;;
181122_V310_2.csv;13.11.2018 18:13;450;1413;100;Kein Fehler erkannt;0;0;2,95;;;;;;;
181122_V310_2.csv;13.11.2018 18:28;448;1407;98;Kein Fehler erkannt;1,09;0;2,95;;;;;;;
181122_V310_2.csv;13.11.2018 19:28;448;1407;100;Kein Fehler erkannt;0;0;2,95;;;;;;;
181122_V310_2.csv;13.11.2018 20:28;448;1407;94;Kein Fehler erkannt;6,16;0;2,95;;;;;;;
181122_V310_2.csv;13.11.2018 21:28;440;1382;100;Kein Fehler erkannt;0;0;2,95;;;;;;;
181122_V310_2.csv;13.11.2018 22:28;439;1379;100;Kein Fehler erkannt;0;0;2,95;;;;;;;
181122_V310_2.csv;13.11.2018 23:28;435;1366;99;Kein Fehler erkannt;0,94;0;2,95;;;;;;;
181122_V310_2.csv;14.11.2018 00:28;435;1366;98;Kein Fehler erkannt;1,09;0;2,65;;;;;;;
181122_V310_2.csv;14.11.2018 01:29;435;1366;98;Kein Fehler erkannt;1,57;0;2,36;;;;;;;
181122_V310_2.csv;14.11.2018 02:29;435;1366;98;Kein Fehler erkannt;1,38;0;2,36;;;;;;;
181122_V310_2.csv;14.11.2018 03:29;435;1366;100;Kein Fehler erkannt;0;0;2,36;;;;;;;
181122_V310_2.csv;14.11.2018 04:29;435;1366;100;Kein Fehler erkannt;0;0;2,07;;;;;;;
181122_V310_2.csv;14.11.2018 05:29;436;1369;94;Kein Fehler erkannt;5,99;0;2,07;;;;;;;
181122_V310_2.csv;14.11.2018 06:29;436;1369;94;Kein Fehler erkannt;5,78;0;1,77;;;;;;;
181122_V310_2.csv;14.11.2018 07:29;430;1350;100;Kein Fehler erkannt;0;0;1,18;;;;;;;
181122_V310_2.csv;14.11.2018 08:29;436;1369;100;Kein Fehler erkannt;0;0;0,59;;;;;;;
181122_V310_2.csv;14.11.2018 09:30;437;1372;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;14.11.2018 10:30;437;1372;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;14.11.2018 11:30;432;1357;96;Kein Fehler erkannt;3,93;0;0;;;;;;;
181122_V310_2.csv;14.11.2018 12:30;430;1350;95;Kein Fehler erkannt;4,86;0;0;;;;;;;
181122_V310_2.csv;14.11.2018 13:30;433;1360;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;14.11.2018 14:30;427;1341;98;Kein Fehler erkannt;1,56;0;0;;;;;;;
181122_V310_2.csv;14.11.2018 15:30;428;1344;99;Kein Fehler erkannt;0,75;0;0;;;;;;;
181122_V310_2.csv;14.11.2018 16:31;428;1344;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;14.11.2018 17:31;422;1325;97;Kein Fehler erkannt;2,75;0;0;;;;;;;
181122_V310_2.csv;14.11.2018 18:31;417;1310;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;14.11.2018 19:31;418;1313;94;Kein Fehler erkannt;5,31;0;0;;;;;;;
181122_V310_2.csv;14.11.2018 20:31;419;1316;98;Kein Fehler erkannt;1,56;0;0;;;;;;;
181122_V310_2.csv;14.11.2018 21:31;413;1297;99;Kein Fehler erkannt;0,94;0;0;;;;;;;
181122_V310_2.csv;14.11.2018 22:31;413;1297;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;14.11.2018 23:32;415;1303;98;Kein Fehler erkannt;1,57;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 00:32;415;1303;98;Kein Fehler erkannt;1,34;0;0;;;;;;63;63
181122_V310_2.csv;15.11.2018 01:32;411;1291;93;Kein Fehler erkannt;6,89;0;0;;;;;;;
